year,amount
1988,2707377
1988,2671300
1988,1317227
1988,1684119
1988,3099488
1988,1305379
1988,1831366
1988,5100022
1988,1866445
1988,2485421
1988,6924749
1988,1231142
1988,2671184
1989,1991735
1989,1923234
1989,1486443
1989,2495747
1989,1826203
1989,2820210
1989,2602479
1989,1631789
1989,3409999
1989,3585705
1989,2048196
1989,1480847
1989,1608016
1989,1219936
1989,1460026
1990,1211987
1990,1978791
1990,1280028
1990,2939669
1990,2080717
1990,2118573
1990,2280621
1990,1273492
1990,1261338
1990,2626776
1990,2627588
1990,2667010
1990,2669112
1990,1894452
1990,1772746
1990,7898639
1990,3416280
1990,1366117
1990,1339965
1990,3357615
1991,1485934
1991,1353626
1991,1520162
1991,1537264
1991,1560838
1991,2504247
1991,1273284
1991,1565066
1991,2487293
1991,1278718
1991,2438994
1991,2429869
1991,1308922
1991,1757112
1991,2274747
1991,1348837
1991,1318185
1991,1281361
1991,1991614
1991,1645386
1991,1676506
1991,1283986
1991,1316166
1991,1284317
1991,1292545
1991,1295513
1991,2390875
1991,1390495
1991,1208123
1991,3553179
1991,7487232
1991,5625469
1991,4336522
1991,4098729
1991,5091018
1991,7389404
1991,3200153
1992,2866621
1992,1428516
1992,1645278
1992,2425338
1992,1429244
1992,1680461
1992,1371264
1992,4017918
1992,1274229
1992,2901551
1992,2266644
1992,3112822
1992,4179473
1992,1468939
1992,2939625
1992,1846440
1992,2321243
1992,1283289
1992,2122457
1992,1604833
1992,3416687
1992,3442131
1992,1221233
1992,1225921
1992,1572710
1992,2580026
1992,1940216
1992,1619287
1992,1239930
1992,1239581
1992,1582881
1993,1287514
1993,1875707
1993,1339233
1993,1488253
1993,1908406
1993,1369814
1993,1576328
1993,2071336
1993,4165903
1993,2110905
1993,1294638
1993,1324165
1993,2032776
1993,1705390
1993,5549253
1993,2431623
1993,1274766
1993,1969127
1993,6685249
1993,1240288
1993,2861923
1993,1626582
1993,1988149
1993,2327351
1993,1368007
1993,2030947
1993,2284612
1993,3800583
1993,1429686
1994,1878103
1994,1393618
1994,1451737
1994,2074140
1994,2049804
1994,1322883
1994,1321650
1994,1317822
1994,1489061
1994,1853587
1994,2643053
1994,1606862
1994,2789514
1994,5342757
1994,5127321
1994,2127966
1994,2262964
1994,1937239
1994,2339182
1994,2161008
1995,1488727
1995,1600152
1995,1386083
1995,1839750
1995,1856397
1995,1424375
1995,1923299
1995,1553598
1995,1917512
1995,1641220
1995,1643839
1995,1834039
1995,1454584
1995,1885334
1995,1649543
1995,1503115
1995,1829415
1995,1685843
1995,1691781
1995,1705852
1995,1799443
1995,1730524
1995,1479475
1995,1480123
1995,2710528
1995,1971521
1995,2910058
1995,1307195
1995,1316137
1995,2359498
1995,2098319
1995,1339127
1995,2292216
1995,2807814
1995,1276105
1995,2630890
1995,2964973
1995,2988180
1995,2203390
1995,2217231
1995,1967219
1995,1958465
1995,2702593
1995,1365096
1996,1747575
1996,2254849
1996,2274081
1996,2361229
1996,2253664
1996,1501420
1996,1393427
1996,5093348
1996,2462277
1996,3221608
1996,3652370
1996,2510799
1996,2774459
1996,3322206
1996,2648328
1996,2669879
1996,2746830
1996,1570588
1996,1518229
1996,3659823
1996,4436698
1996,1363676
1996,2181496
1996,1833711
1996,1454791
1996,2042148
1996,1450267
1996,1358795
1996,3737536
1996,1360045
1996,2191835
1996,1413145
1996,2202351
1996,3005770
1996,1819529
1996,1465832
1997,1590103
1997,2854428
1997,2811912
1997,3001082
1997,1554947
1997,3959984
1997,2757499
1997,1586570
1997,2429039
1997,2773315
1997,1594839
1997,1628985
1997,3663606
1997,3208714
1997,1647440
1997,2249616
1997,2253043
1997,2729981
1997,3000136
1997,1729568
1997,1496072
1997,4964404
1997,1496721
1997,1462997
1997,2250003
1997,2318778
1997,1827968
1997,3028963
1997,1670479
1997,1669430
1997,1502477
1997,2369036
1997,1503897
1997,2196945
1997,1498895
1997,1558509
1998,1553702
1998,1538178
1998,1806086
1998,1573049
1998,1939176
1998,1785859
1998,1822366
1998,2252809
1998,2247724
1998,2209462
1998,1783378
1998,2200101
1998,1882101
1998,1883754
1998,1923797
1998,2002975
1998,1983639
1998,3435167
1998,2138317
1998,1761610
1998,2258157
1998,1649571
1998,2732120
1998,1632300
1998,2685464
1998,2643012
1998,3165311
1998,1656883
1998,2541525
1998,1957966
1998,1714019
1998,1736060
1998,2302612
1999,2426782
1999,2890475
1999,2388606
1999,2119823
1999,4050863
1999,2119630
1999,2119238
1999,2312286
1999,2001364
1999,2890272
1999,2892637
1999,1944368
1999,1887624
1999,1734316
1999,3082872
1999,1827254
1999,3014664
1999,1773792
1999,1927100
1999,1927106
1999,1736584
1999,1642822
1999,1927109
1999,1927109
1999,1633986
2000,1659337
2000,1631502
2000,1697681
2000,3180845
2000,1672418
2000,2452286
2000,2829573
2000,2516735
2000,2736901
2000,2523393
2000,2613311
2000,2605273
2000,1957772
2000,1785433
2000,1886326
2000,1933303
2000,3772762
2000,2953382
2000,2263659
2000,4147371
2000,1981079
2000,2198386
2000,1863745
2000,1852238
2000,3780724
2001,1661136
2001,2062311
2001,2061890
2001,2024884
2001,2955629
2001,2142567
2001,2386532
